ds,y
2020-08-27,192.7534997
2020-08-28,193.1466444
2020-08-29,193.5243727
2020-08-30,193.8126326
2020-08-31,194.1030213
2020-09-01,194.4452197
2020-09-02,194.7797416
2020-09-03,195.1355232
2020-09-04,195.5405633
2020-09-05,195.8871686
2020-09-06,196.1392066
2020-09-07,196.3269096
2020-09-08,196.5406914
2020-09-09,196.8091246
2020-09-10,197.093574
2020-09-11,197.4658928
2020-09-12,197.7858265
2020-09-13,198.0525151
2020-09-14,198.3147901
2020-09-15,198.6184939
2020-09-16,198.9137526
2020-09-17,199.2569965
2020-09-18,199.6275328
2020-09-19,199.9486882
2020-09-20,200.2381034
2020-09-21,200.6241734
2020-09-22,200.9184607
2020-09-23,201.2048125
2020-09-24,201.5425324
2020-09-25,201.8959533
2020-09-26,202.2200275
2020-09-27,202.49155
2020-09-28,202.7255617
2020-09-29,203.0348945
2020-09-30,203.3313583
2020-10-01,203.6558591
2020-10-02,204.043604
2020-10-03,204.3886949
2020-10-04,204.6434788
2020-10-05,204.9171635
2020-10-06,205.2249482
2020-10-07,205.5779224
2020-10-08,205.9822852
2020-10-09,206.3682753
2020-10-10,206.738566
2020-10-11,207.0512957
2020-10-12,207.3278621
2020-10-13,207.6855387
2020-10-14,208.0856631
2020-10-15,208.516117
2020-10-16,208.971081
2020-10-17,209.3469098
2020-10-18,209.6710575
2020-10-19,210.1093063
2020-10-20,210.5065169
2020-10-21,210.9140293
2020-10-22,211.3981074
2020-10-23,211.914889
2020-10-24,212.4393489
2020-10-25,212.8281394
2020-10-26,213.2449304
2020-10-27,213.7177904
2020-10-28,214.204119
2020-10-29,214.7574588
2020-10-30,215.3572852
2020-10-31,215.8942589
2020-11-01,216.3476768
2020-11-02,216.8453986
2020-11-03,217.5821535
2020-11-04,218.1848595
2020-11-05,218.9175388
2020-11-06,219.6403062
2020-11-07,220.3691212
2020-11-08,220.9892929
2020-11-09,221.6682247
2020-11-10,222.43115
2020-11-11,223.218385
2020-11-12,224.0930405
2020-11-13,225.0447217
2020-11-14,225.9275334
2020-11-15,226.6391453
2020-11-16,227.4577662
2020-11-17,228.2818316
2020-11-18,229.1471587
2020-11-19,230.0906256
2020-11-20,231.062483
2020-11-21,231.9350737
2020-11-22,232.6275713
2020-11-23,233.4514897
2020-11-24,234.2738888
2020-11-25,235.1279109
2020-11-26,235.6439492
2020-11-27,236.5941833
2020-11-28,237.3060457
2020-11-29,237.9362567
2020-11-30,238.6467327
