"","ds","y"
"178","7/17/2020",170.7135297
"179","7/18/2020",171.4584134
"180","7/19/2020",172.1734146
"181","7/20/2020",172.8886267
"182","7/21/2020",173.6267139
"183","7/22/2020",174.4424177
"184","7/23/2020",175.2092128
"185","7/24/2020",176.0177313
"186","7/25/2020",176.7306937
"187","7/26/2020",177.3225807
"188","7/27/2020",177.9202411
"189","7/28/2020",178.6155451
"190","7/29/2020",179.3658007
"191","7/30/2020",180.0635304
"192","7/31/2020",180.7565807
"193","8/1/2020",181.340724
"194","8/2/2020",181.8041253
"195","8/3/2020",182.2471972
"196","8/4/2020",182.8120836
"197","8/5/2020",183.344158
"198","8/6/2020",183.9204392
"199","8/7/2020",184.4803898
"200","8/8/2020",184.9986793
"201","8/9/2020",185.4367368
"202","8/10/2020",185.8938659
"203","8/11/2020",186.3309373
"204","8/12/2020",186.8559538
"205","8/13/2020",187.3305089
"206","8/14/2020",187.9195639
"207","8/15/2020",188.3416615
"208","8/16/2020",188.7109842
"209","8/17/2020",189.036712
"210","8/18/2020",189.4361798
"211","8/19/2020",189.8536963
"212","8/20/2020",190.2398594
"213","8/21/2020",190.6598898
"214","8/22/2020",191.0375498
"215","8/23/2020",191.3341097
"216","8/24/2020",191.6466585
"217","8/25/2020",191.9874275
"218","8/26/2020",192.3732746
"219","8/27/2020",192.7534997
"220","8/28/2020",193.1466444
"221","8/29/2020",193.5243727
"222","8/30/2020",193.8126326
"223","8/31/2020",194.1030213
"224","9/1/2020",194.4452197
"225","9/2/2020",194.7797416
"226","9/3/2020",195.1355232
"227","9/4/2020",195.5405633
"228","9/5/2020",195.8871686
"229","9/6/2020",196.1392066
"230","9/7/2020",196.3269096
"231","9/8/2020",196.5406914
"232","9/9/2020",196.8091246
"233","9/10/2020",197.093574
"234","9/11/2020",197.4658928
"235","9/12/2020",197.7858265
"236","9/13/2020",198.0525151
"237","9/14/2020",198.3147901
"238","9/15/2020",198.6184939
"239","9/16/2020",198.9137526
"240","9/17/2020",199.2569965
"241","9/18/2020",199.6275328
"242","9/19/2020",199.9486882
"243","9/20/2020",200.2381034
"244","9/21/2020",200.6241734
"245","9/22/2020",200.9184607
"246","9/23/2020",201.2048125
"247","9/24/2020",201.5425324
"248","9/25/2020",201.8959533
"249","9/26/2020",202.2200275
"250","9/27/2020",202.49155
"251","9/28/2020",202.7255617
"252","9/29/2020",203.0348945
"253","9/30/2020",203.3313583
"254","10/1/2020",203.6558591
"255","10/2/2020",204.043604
"256","10/3/2020",204.3886949
"257","10/4/2020",204.6434788
"258","10/5/2020",204.9171635
"259","10/6/2020",205.2249482
"260","10/7/2020",205.5779224
"261","10/8/2020",205.9822852
"262","10/9/2020",206.3682753
"263","10/10/2020",206.738566
"264","10/11/2020",207.0512957
"265","10/12/2020",207.3278621
"266","10/13/2020",207.6855387
"267","10/14/2020",208.0856631
"268","10/15/2020",208.516117
"269","10/16/2020",208.971081
"270","10/17/2020",209.3469098
"271","10/18/2020",209.6710575
"272","10/19/2020",210.1093063
"273","10/20/2020",210.5065169
"274","10/21/2020",210.9140293
"275","10/22/2020",211.3981074
"276","10/23/2020",211.914889
